prefix,thld_delta,thld_max,instance,tau_star_val,succ_trials,total_trials,Ps_hat,TTS_at_tau_star
kRkX_n12,0.002,28.0,71,46,4,200,0.02,10485.615874450144
kRkX_n12,0.002,28.0,72,46,2,200,0.01,21077.686521455867
kRkX_n12,0.002,28.0,73,46,2,200,0.01,21077.686521455867
kRkX_n12,0.002,28.0,74,46,2,200,0.01,21077.686521455867
kRkX_n12,0.002,28.0,75,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,76,46,3,200,0.015,14016.336187083529
kRkX_n12,0.002,28.0,77,46,5,200,0.025,8367.147293592752
kRkX_n12,0.002,28.0,78,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,79,46,8,200,0.04,5189.306182732986
kRkX_n12,0.002,28.0,80,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,81,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,82,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,83,46,2,200,0.01,21077.686521455867
kRkX_n12,0.002,28.0,84,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,85,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,86,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,87,46,6,200,0.03,6954.804344853721
kRkX_n12,0.002,28.0,88,46,4,200,0.02,10485.615874450144
kRkX_n12,0.002,28.0,89,46,1,200,0.005,42261.55830968511
kRkX_n12,0.002,28.0,90,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,91,46,6,200,0.03,6954.804344853721
kRkX_n12,0.002,28.0,92,46,4,200,0.02,10485.615874450144
kRkX_n12,0.002,28.0,93,46,8,200,0.04,5189.306182732986
kRkX_n12,0.002,28.0,94,46,5,200,0.025,8367.147293592752
kRkX_n12,0.002,28.0,95,46,3,200,0.015,14016.336187083529
kRkX_n12,0.002,28.0,96,46,3,200,0.015,14016.336187083529
kRkX_n12,0.002,28.0,97,46,3,200,0.015,14016.336187083529
kRkX_n12,0.002,28.0,98,46,3,200,0.015,14016.336187083529
kRkX_n12,0.002,28.0,99,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,100,46,0,200,0.0,inf
kRkX_n12,0.004,28.0,1,72,3,200,0.015,21938.613162391608
kRkX_n12,0.004,28.0,2,72,8,200,0.04,8122.392286016847
kRkX_n12,0.004,28.0,3,72,7,200,0.035,9306.722432863911
kRkX_n12,0.004,28.0,4,72,1,200,0.005,66148.52604994191
kRkX_n12,0.004,28.0,5,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,6,72,3,200,0.015,21938.613162391608
kRkX_n12,0.004,28.0,7,72,1,200,0.005,66148.52604994191
kRkX_n12,0.004,28.0,8,72,4,200,0.02,16412.268325226312
kRkX_n12,0.004,28.0,9,72,5,200,0.025,13096.404459536485
kRkX_n12,0.004,28.0,10,72,2,200,0.01,32991.161511843966
kRkX_n12,0.004,28.0,11,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,12,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,13,72,4,200,0.02,16412.268325226312
kRkX_n12,0.004,28.0,14,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,15,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,16,72,6,200,0.03,10885.780713684086
kRkX_n12,0.004,28.0,17,72,13,200,0.065,4933.468557345545
kRkX_n12,0.004,28.0,18,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,19,72,3,200,0.015,21938.613162391608
kRkX_n12,0.004,28.0,20,72,10,200,0.05,6464.241717171098
kRkX_n12,0.004,28.0,21,72,4,200,0.02,16412.268325226312
kRkX_n12,0.004,28.0,22,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,23,72,2,200,0.01,32991.161511843966
kRkX_n12,0.004,28.0,24,72,1,200,0.005,66148.52604994191
kRkX_n12,0.004,28.0,25,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,26,72,4,200,0.02,16412.268325226312
