prefix,thld_delta,thld_max,instance,tau_star_val,succ_trials,total_trials,Ps_hat,TTS_at_tau_star
3R3X_n112,0.0003,20.0,38,44044,20,200,0.1,1925105.5711456465
3R3X_n112,0.0003,20.0,39,44044,20,200,0.1,1925105.5711456465
3R3X_n112,0.0003,20.0,40,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,41,44044,19,200,0.095,2031951.857286599
3R3X_n112,0.0003,20.0,42,44044,23,199,0.1155778894472361,1651430.9192475446
3R3X_n112,0.0003,20.0,43,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,44,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,45,44044,30,200,0.15,1248039.9440142536
3R3X_n112,0.0003,20.0,46,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,47,44044,26,200,0.13,1456463.4832392496
3R3X_n112,0.0003,20.0,48,44044,54,200,0.27,644496.951557762
3R3X_n112,0.0003,20.0,49,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,50,44044,34,200,0.17,1088555.6530547617
3R3X_n112,0.0003,20.0,51,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,52,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,53,44044,13,200,0.065,3017912.349162877
3R3X_n112,0.0003,20.0,54,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,55,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,56,44044,49,200,0.245,721718.9670869842
3R3X_n112,0.0003,20.0,57,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,58,44044,55,200,0.275,630722.7745877572
3R3X_n112,0.0003,20.0,59,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,60,44044,8,200,0.04,4968647.858962861
3R3X_n112,0.0003,20.0,61,44044,11,200,0.055,3585449.09718779
3R3X_n112,0.0003,20.0,62,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,63,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,64,44044,37,200,0.185,991508.656517186
3R3X_n112,0.0003,20.0,65,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,66,44044,30,200,0.15,1248039.9440142536
3R3X_n112,0.0003,20.0,67,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,68,44044,16,200,0.08,2432552.1928932923
3R3X_n112,0.0003,20.0,69,44044,8,200,0.04,4968647.858962861
3R3X_n112,0.0003,20.0,70,44044,31,200,0.155,1204320.9805724137
3R3X_n112,0.0003,20.0,71,44044,10,200,0.05,3954320.308209497
3R3X_n112,0.0003,20.0,72,44044,28,200,0.14,1344823.16330497
3R3X_n112,0.0003,20.0,73,44044,23,200,0.115,1660260.6522974954
